site,year,n,smf,yslf,ytnf,ffi
brid,1673,0,0.013316771957373918,0,0,0
brid,1674,0,-0.20573367749997362,1,31,32
brid,1675,0,-0.4690479445763372,2,30,32
brid,1676,0,-0.2900037149925517,3,29,32
brid,1677,0,-0.5009856099170333,4,28,32
brid,1678,0,-0.7195771828569013,5,27,32
brid,1679,0,-0.5473894327884318,6,26,32
brid,1680,1,-0.050605278134475476,7,25,32
brid,1681,1,-0.0602558348706013,8,24,32
brid,1682,0,0.3159506639195743,9,23,32
brid,1683,0,0.5589249495826976,10,22,32
brid,1684,0,0.25677268524913854,11,21,32
brid,1685,0,0.0664066921877821,12,20,32
brid,1686,0,0.07838055683433659,13,19,32
brid,1687,0,-0.040846984775702935,14,18,32
brid,1688,0,0.21587464462665076,15,17,32
brid,1689,2,0.3951903840141524,16,16,32
brid,1690,0,0.49476284051523806,17,15,32
brid,1691,0,0.5772560343334294,18,14,32
brid,1692,1,0.5284843676699623,19,13,32
brid,1693,0,0.29194962479850045,20,12,32
brid,1694,1,0.13897032732566225,21,11,32
brid,1695,0,0.08672791996896272,22,10,32
brid,1696,0,0.03468400034330743,23,9,32
brid,1697,1,0.021475438536427145,24,8,32
brid,1698,0,-0.25709019112589615,25,7,32
brid,1699,1,-0.4312355218985615,26,6,32
brid,1700,0,-0.46579174906231013,27,5,32
brid,1701,0,-0.4600873982855791,28,4,32
brid,1702,0,-0.41792072936054986,29,3,32
brid,1703,0,-0.22522433556964638,30,2,32
brid,1704,0,0.21750779309177337,31,1,32
brid,1705,0,0.3545017258120178,0,0,0
brid,1706,0,0.33449171679311845,1,24,25
brid,1707,0,0.24293884563661505,2,23,25
brid,1708,0,0.4567231492564307,3,22,25
brid,1709,0,0.28754591681944214,4,21,25
brid,1710,0,0.3846388251883102,5,20,25
brid,1711,0,0.18026591871751158,6,19,25
brid,1712,1,0.3750808395689267,7,18,25
brid,1713,0,0.245275082237109,8,17,25
brid,1714,0,0.14851408886136602,9,16,25
brid,1715,0,-0.2670425552676632,10,15,25
brid,1716,0,-0.3079909557760672,11,14,25
brid,1717,0,-0.39104971940450783,12,13,25
brid,1718,0,-0.6551507528716003,13,12,25
brid,1719,0,-0.4521614776389141,14,11,25
brid,1720,0,-0.23075394886512698,15,10,25
brid,1721,1,-0.03172202979382745,16,9,25
brid,1722,1,-0.1133375897582708,17,8,25
brid,1723,0,0.05326341681642348,18,7,25
brid,1724,0,0.003034174101751095,19,6,25
brid,1725,0,-0.04824145492739266,20,5,25
brid,1726,0,0.020892162614938533,21,4,25
brid,1727,0,0.008057079200187403,22,3,25
brid,1728,0,0.13369588838262503,23,2,25
brid,1729,0,-0.07101094843487094,24,1,25
brid,1730,0,-0.19006420699939133,0,0,0
brid,1731,0,-0.15545023382423157,1,4,5
brid,1732,1,-0.13445108271838918,2,3,5
brid,1733,0,-0.05685554949066554,3,2,5
brid,1734,0,0.22238813325547496,4,1,5
brid,1735,0,0.475440566270425,0,0,0
brid,1736,0,0.1945496076635866,1,6,7
brid,1737,0,-0.20686261987176088,2,5,7
brid,1738,0,-0.12302736851131793,3,4,7
brid,1739,0,-0.1417608318371989,4,3,7
brid,1740,0,-0.13451368371687192,5,2,7
brid,1741,0,-0.1985532377450008,6,1,7
brid,1742,0,0.3527662890687153,0,0,0
brid,1743,0,-0.11479507114092895,1,7,8
brid,1744,0,-0.30509735550909045,2,6,8
brid,1745,0,-0.5794372284280783,3,5,8
brid,1746,0,-0.1885234936037812,4,4,8
brid,1747,0,-0.31490364946494254,5,3,8
brid,1748,0,0.04639252366245117,6,2,8
brid,1749,0,0.2872393019459448,7,1,8
brid,1750,0,0.44841617777791615,0,0,0
brid,1751,0,0.4479285715142575,1,14,15
brid,1752,0,0.4800682215905116,2,13,15
brid,1753,0,0.6010545666551058,3,12,15
brid,1754,0,0.655700175039149,4,11,15
brid,1755,0,0.7505201423616141,5,10,15
brid,1756,1,0.4454432790819463,6,9,15
brid,1757,0,0.42171665520712986,7,8,15
brid,1758,0,0.1666032676282168,8,7,15
brid,1759,0,-0.02974076363639627,9,6,15
brid,1760,1,-0.24482738675865248,10,5,15
brid,1761,1,-0.22681517918295813,11,4,15
brid,1762,0,-0.3141282636256462,12,3,15
brid,1763,0,-0.3837324465986811,13,2,15
brid,1764,0,-0.6118872142408712,14,1,15
brid,1765,0,-0.7268325950268224,0,0,0
brid,1766,0,-0.5113820021232044,1,8,9
brid,1767,0,-0.47634557976098857,2,7,9
brid,1768,0,-0.2764641931365291,3,6,9
brid,1769,0,0.02950431128667281,4,5,9
brid,1770,1,0.1382193412990648,5,4,9
brid,1771,0,0.028226358535980024,6,3,9
brid,1772,0,0.030845446132638656,7,2,9
brid,1773,0,-0.4242904498587742,8,1,9
brid,1774,1,-0.35858925233166106,0,0,0
brid,1775,0,-0.14834292647344882,1,5,6
brid,1776,0,-0.08243437923062388,2,4,6
brid,1777,0,0.06716284216653594,3,3,6
brid,1778,0,0.14086893703146341,4,2,6
brid,1779,0,0.10208068373694398,5,1,6
brid,1780,0,-0.07641407898739733,0,0,0
brid,1781,0,-0.1493952878540481,1,14,15
brid,1782,0,-0.2656806448204447,2,13,15
brid,1783,0,-0.028333659877385182,3,12,15
brid,1784,0,-0.36024437989001,4,11,15
brid,1785,0,-0.7263922369260104,5,10,15
brid,1786,0,-0.8071051390642388,6,9,15
brid,1787,0,-0.7693675849910708,7,8,15
brid,1788,1,-0.8216331272562355,8,7,15
brid,1789,0,-0.6242129092662275,9,6,15
brid,1790,1,-0.6871073122699203,10,5,15
brid,1791,0,-0.8957456022317815,11,4,15
brid,1792,0,-0.7968482418950785,12,3,15
brid,1793,0,-0.5154091915418879,13,2,15
brid,1794,1,-0.44411350844707803,14,1,15
brid,1795,1,0.09391147907817406,0,0,0
brid,1796,0,0.20390892807483718,1,4,5
brid,1797,0,0.23573523181549508,2,3,5
brid,1798,0,0.27604284032084364,3,2,5
brid,1799,0,0.42821393680291797,4,1,5
brid,1800,0,0.6493598920983811,0,0,0
brid,1801,0,0.8324697128367305,1,4,5
brid,1802,1,0.4117812898394705,2,3,5
brid,1803,0,-0.2716362972748503,3,2,5
brid,1804,1,-0.5825944159331182,4,1,5
brid,1805,2,-0.7844789123012011,0,0,0
brid,1806,0,-0.6889802821946716,1,6,7
brid,1807,0,-0.19742087204802977,2,5,7
brid,1808,0,0.054950432966136165,3,4,7
brid,1809,1,0.33251645082900355,4,3,7
brid,1810,2,0.32013535668207016,5,2,7
brid,1811,2,0.23060359444457107,6,1,7
brid,1812,3,0.09754389585520304,0,0,0
brid,1813,0,0.2645463195466419,1,5,6
brid,1814,1,0.11020052288871804,2,4,6
brid,1815,1,-0.05165256614599819,3,3,6
brid,1816,1,-0.11278830651937707,4,2,6
brid,1817,1,-0.23955198762895905,5,1,6
brid,1818,1,-0.2598369692561623,0,0,0
brid,1819,0,-0.053504616456454546,1,5,6
brid,1820,0,-0.047229845976614594,2,4,6
brid,1821,0,-0.030263145067455664,3,3,6
brid,1822,1,0.03597867769147438,4,2,6
brid,1823,2,0.11162259192652393,5,1,6
brid,1824,0,-0.060454822999144675,0,0,0
brid,1825,0,0.15123494354044675,1,11,12
brid,1826,0,0.16851177467027173,2,10,12
brid,1827,3,0.19466884773568177,3,9,12
brid,1828,0,0.11640925173324786,4,8,12
brid,1829,1,0.12374224230506708,5,7,12
brid,1830,1,-0.25661398424832244,6,6,12
brid,1831,0,-0.3939720336924739,7,5,12
brid,1832,1,-0.6550873583943766,8,4,12
brid,1833,0,-0.3446574067483741,9,3,12
brid,1834,0,-0.1480687410526364,10,2,12
brid,1835,0,0.028046703431569297,11,1,12
brid,1836,1,0.27885467360312527,0,0,0
brid,1837,0,0.056194150917800986,1,3,4
brid,1838,4,-0.16000998767148314,2,2,4
brid,1839,0,-0.377950443784361,3,1,4
brid,1840,1,-0.06574012546749479,0,0,0
brid,1841,1,-0.05790735360929995,1,9,10
brid,1842,1,0.24620266656950845,2,8,10
brid,1843,0,0.14138662976845887,3,7,10
brid,1844,1,0.15147425620823216,4,6,10
brid,1845,0,-0.13876701912549272,5,5,10
brid,1846,0,-0.025902747286407016,6,4,10
brid,1847,1,0.11745748280550196,7,3,10
brid,1848,0,0.1493331735006661,8,2,10
brid,1849,2,-0.2679013975303211,9,1,10
brid,1850,0,-0.25804799586330357,0,0,0
brid,1851,0,-0.7799641606581766,1,45,46
brid,1852,1,-1.0844112415871223,2,44,46
brid,1853,2,-1.173242327902905,3,43,46
brid,1854,3,-0.8715492628313176,4,42,46
brid,1855,2,-0.9413272926616476,5,41,46
brid,1856,0,-0.46300894316195074,6,40,46
brid,1857,0,-0.2697417233836555,7,39,46
brid,1858,0,-0.1462414454820784,8,38,46
brid,1859,0,-0.1264272691971667,9,37,46
brid,1860,1,0.08094561812072965,10,36,46
brid,1861,0,0.11800466084839814,11,35,46
brid,1862,1,0.27098988878369157,12,34,46
brid,1863,0,0.3067051955527603,13,33,46
brid,1864,2,0.1275482825542877,14,32,46
brid,1865,2,-0.21823203110554718,15,31,46
brid,1866,2,-0.5604096131584905,16,30,46
brid,1867,0,-0.7213420652171902,17,29,46
brid,1868,1,-0.6679140302454172,18,28,46
brid,1869,3,-0.3920151679425266,19,27,46
brid,1870,0,0.11815163017200142,20,26,46
brid,1871,3,0.15818518219548516,21,25,46
brid,1872,0,-0.15839442771426904,22,24,46
brid,1873,1,-0.3308569489634096,23,23,46
brid,1874,1,-0.15387100219170674,24,22,46
brid,1875,1,-0.27297317664922927,25,21,46
brid,1876,1,0.25320807295273834,26,20,46
brid,1877,0,0.6765442581339721,27,19,46
brid,1878,2,0.6141337008150273,28,18,46
brid,1879,2,0.2425209354833945,29,17,46
brid,1880,0,0.10587881149886783,30,16,46
brid,1881,0,-0.38827301835548106,31,15,46
brid,1882,1,-0.3256444087450272,32,14,46
brid,1883,0,-0.3468382274754377,33,13,46
brid,1884,1,-0.060815083557188426,34,12,46
brid,1885,2,-0.37543255195727737,35,11,46
brid,1886,1,-0.1258045242900301,36,10,46
brid,1887,1,-0.3650238932692969,37,9,46
brid,1888,5,-0.2109901902180362,38,8,46
brid,1889,1,-0.3108567714904573,39,7,46
brid,1890,3,-0.08122193496822167,40,6,46
brid,1891,1,-0.41916843606465154,41,5,46
brid,1892,2,-0.012829402698178775,42,4,46
brid,1893,4,0.0013552406105611717,43,3,46
brid,1894,4,-0.020256532120441408,44,2,46
brid,1895,7,-0.05737281262081863,45,1,46
brid,1896,4,0.09644385643936118,0,0,0
brid,1897,5,-0.23235121541934822,1,108,109
brid,1898,4,-0.13136274049398106,2,107,109
brid,1899,1,0.044333764626837156,3,106,109
brid,1900,4,0.03400689883098866,4,105,109
brid,1901,2,0.15568193990399784,5,104,109
brid,1902,5,0.22512917454064293,6,103,109
brid,1903,0,0.1898672216332312,7,102,109
brid,1904,5,0.09049749122140072,8,101,109
brid,1905,6,0.1543826250908563,9,100,109
brid,1906,8,-0.1896316614218814,10,99,109
brid,1907,9,-0.30461505452489945,11,98,109
brid,1908,9,-0.3982562600485267,12,97,109
brid,1909,7,-0.2680908285976492,13,96,109
brid,1910,9,-0.3027340330916245,14,95,109
brid,1911,5,-0.14091571927856544,15,94,109
brid,1912,9,-0.05399702247331138,16,93,109
brid,1913,4,0.02764712311328831,17,92,109
brid,1914,15,0.12917682266216973,18,91,109
brid,1915,3,0.4982263688865384,19,90,109
brid,1916,4,0.588447867063697,20,89,109
brid,1917,9,0.6962116706521684,21,88,109
brid,1918,9,0.5553004513567439,22,87,109
brid,1919,8,0.4651067222949462,23,86,109
brid,1920,5,0.13394275551579832,24,85,109
brid,1921,9,0.062496157592688464,25,84,109
brid,1922,9,0.25670251580867,26,83,109
brid,1923,2,0.5306784497513959,27,82,109
brid,1924,8,0.39018878660621525,28,81,109
brid,1925,3,0.40381844491842617,29,80,109
brid,1926,11,0.317032568640991,30,79,109
brid,1927,11,-0.03197514505634631,31,78,109
brid,1928,11,-0.34504984001211875,32,77,109
brid,1929,12,-0.4049841613159205,33,76,109
brid,1930,10,-0.3122903532591976,34,75,109
brid,1931,9,-0.17210136621702898,35,74,109
brid,1932,11,-0.5521976403203187,36,73,109
brid,1933,14,-0.4493105964806151,37,72,109
brid,1934,20,-0.5303004235158056,38,71,109
brid,1935,12,-0.6568944864640326,39,70,109
brid,1936,13,-0.8290274357894513,40,69,109
brid,1937,13,-0.6019534764206093,41,68,109
brid,1938,13,-0.731547694998568,42,67,109
brid,1939,15,-0.9839631483894277,43,66,109
brid,1940,14,-0.9197050668949053,44,65,109
brid,1941,12,-0.9039435836060362,45,64,109
brid,1942,17,-1.029686918140541,46,63,109
brid,1943,16,-0.8645250550111807,47,62,109
brid,1944,9,-0.442721128431644,48,61,109
brid,1945,21,-0.3212404313753451,49,60,109
brid,1946,14,0.02099022327949749,50,59,109
brid,1947,11,0.17743977632282895,51,58,109
brid,1948,12,0.2632560910251011,52,57,109
brid,1949,20,0.5071453488980485,53,56,109
brid,1950,12,0.5607791709174477,54,55,109
brid,1951,35,0.4088911100362534,55,54,109
brid,1952,29,0.5718640219556161,56,53,109
brid,1953,23,0.5018370198437188,57,52,109
brid,1954,15,0.16399483865421763,58,51,109
brid,1955,13,-0.1656516623666229,59,50,109
brid,1956,26,-0.2663464346233915,60,49,109
brid,1957,19,-0.34441599789951344,61,48,109
brid,1958,24,-0.47073332276212276,62,47,109
brid,1959,13,-0.5221018138605279,63,46,109
brid,1960,17,-0.1981353306377048,64,45,109
brid,1961,41,-0.03974928181108336,65,44,109
brid,1962,26,-0.004814857177055531,66,43,109
brid,1963,36,-0.051497683887009836,67,42,109
brid,1964,20,0.06995338227620555,68,41,109
brid,1965,23,-0.04628795304373311,69,40,109
brid,1966,17,0.09852157280311725,70,39,109
brid,1967,15,-0.006678800123615975,71,38,109
brid,1968,8,-0.10207313588574192,72,37,109
brid,1969,11,-0.45951754914166254,73,36,109
brid,1970,10,-0.4047374843985081,74,35,109
brid,1971,10,-0.45838378612903036,75,34,109
brid,1972,3,-0.3893836144375017,76,33,109
brid,1973,4,-0.0983558984040328,77,32,109
brid,1974,3,0.07591406807217391,78,31,109
brid,1975,1,0.06807766040295747,79,30,109
brid,1976,2,-0.17987952748454075,80,29,109
brid,1977,3,0.2676085034692467,81,28,109
brid,1978,0,0.1944280784588601,82,27,109
brid,1979,2,0.3351444850151866,83,26,109
brid,1980,3,-0.01531851399224111,84,25,109
brid,1981,3,0.18657936097127462,85,24,109
brid,1982,1,-0.0472998929059591,86,23,109
gran,1601,0,-1.3830013361200255,17,11,28
gran,1602,1,-1.2668624439612708,18,10,28
gran,1603,1,-0.8450015998274246,19,9,28
gran,1604,0,-0.46924627712952544,20,8,28
gran,1605,0,-0.35889954084563747,21,7,28
gran,1606,2,-0.2021638307069929,22,6,28
gran,1607,0,-0.060346765296481024,23,5,28
gran,1608,0,-0.13195578347049244,24,4,28
gran,1609,3,-0.14563122700242861,25,3,28
gran,1610,0,0.11642364811057335,26,2,28
gran,1611,0,0.2171536130541022,27,1,28
gran,1612,0,0.32517776940174803,0,0,0
gran,1613,0,0.5742461928198351,1,20,21
gran,1614,1,0.5582436072865289,2,19,21
gran,1615,2,0.44886870781290505,3,18,21
gran,1616,0,0.45140867939282836,4,17,21
gran,1617,1,0.273247035722818,5,16,21
gran,1618,0,0.24330433458719683,6,15,21
gran,1619,0,0.36056163384521406,7,14,21
gran,1620,2,0.3391276652650689,8,13,21
gran,1621,0,-0.28538758273985576,9,12,21
gran,1622,3,-0.6052545908065032,10,11,21
gran,1623,0,-0.8780392214735292,11,10,21
gran,1624,1,-1.0545000775388813,12,9,21
gran,1625,0,-0.9289443671009225,13,8,21
gran,1626,0,-0.40827064725911677,14,7,21
gran,1627,0,-0.31167982903077635,15,6,21
gran,1628,0,-0.22724419200778187,16,5,21
gran,1629,1,-0.23041045669031934,17,4,21
gran,1630,0,-0.4723372172214938,18,3,21
gran,1631,0,-0.6838454494696398,19,2,21
gran,1632,0,-0.7764420471561974,20,1,21
gran,1633,0,-0.8953741599338265,0,0,0
gran,1634,1,-1.2348441241937642,1,14,15
gran,1635,1,-1.3364471056045102,2,13,15
gran,1636,0,-1.333224598355295,3,12,15
gran,1637,0,-1.2596047328978004,4,11,15
gran,1638,0,-1.2511275081253799,5,10,15
gran,1639,0,-1.1267750664988259,6,9,15
gran,1640,0,-1.2669997765747243,7,8,15
gran,1641,1,-1.6346858803032185,8,7,15
gran,1642,0,-1.8919501469077682,9,6,15
gran,1643,0,-1.9052997517682027,10,5,15
gran,1644,0,-1.7713602498411927,11,4,15
gran,1645,0,-1.7039979174652204,12,3,15
gran,1646,0,-1.3358646433566281,13,2,15
gran,1647,0,-0.9568338298548101,14,1,15
gran,1648,0,-0.7428439555443904,0,0,0
gran,1649,0,-0.511885266406834,1,9,10
